"Клиент","Дата","Критерий","Парам. №1","Парам. №2","Переходы (%)","Показы (%)"
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","24-27",8,9.2
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","27-30",21.3,15.1
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","30-35",34.6,32.7
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","35-45",22.6,30.2
"Rusfic_Alphavit_WM_pp","2021-01-01","gender_age","Ж","45+",12,9.7
"Rusfic_Alphavit_WM_pp","2021-01-02","age","1-18","",1.1,0.1
"Rusfic_Alphavit_WM_pp","2021-01-02","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-02","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-02","age","24-27","",12.3,9.7
"Rusfic_Alphavit_WM_pp","2021-01-02","age","27-30","",16.8,15.5
"Rusfic_Alphavit_WM_pp","2021-01-02","age","30-35","",31.4,32.6
"Rusfic_Alphavit_WM_pp","2021-01-02","age","35-45","",20.2,29.9
"Rusfic_Alphavit_WM_pp","2021-01-02","age","45+","",17.9,9.5
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Москва","",1.1,6.6
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Санкт-Петербург","",5.6,5.9
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Нижний Новгород","",1.1,2
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Екатеринбург","",1.1,1.7
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Казань","",1.1,1.6
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Челябинск","",0,1.5
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Самара","",1.1,1.4
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Пермь","",1.1,1.4
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Уфа","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Воронеж","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Новосибирск","",2.2,1.2
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Краснодар","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Ростов-на-Дону","",1.1,1
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Красноярск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Калининград","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Ярославль","",1.1,0.6
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Волгоград","",2.2,0.6
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Липецк","",2.2,0.5
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Ижевск","",1.1,0.5
"Rusfic_Alphavit_WM_pp","2021-01-02","cities","Пенза","",1.1,0.5
"Rusfic_Alphavit_WM_pp","2021-01-02","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","1-18",1.1,0.1
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","24-27",12.3,9.7
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","27-30",16.8,15.5
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","30-35",31.4,32.6
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","35-45",20.2,29.9
"Rusfic_Alphavit_WM_pp","2021-01-02","gender_age","Ж","45+",17.9,9.5
"Rusfic_Alphavit_WM_pp","2021-01-03","age","1-18","",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-03","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-03","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-03","age","24-27","",17.7,9.8
"Rusfic_Alphavit_WM_pp","2021-01-03","age","27-30","",25.8,14.8
"Rusfic_Alphavit_WM_pp","2021-01-03","age","30-35","",30.6,30.8
"Rusfic_Alphavit_WM_pp","2021-01-03","age","35-45","",16.1,29.6
"Rusfic_Alphavit_WM_pp","2021-01-03","age","45+","",8,12
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Москва","",6.4,7.6
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Санкт-Петербург","",6.4,6.1
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Нижний Новгород","",1.6,2.1
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Казань","",1.6,1.6
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Екатеринбург","",3.2,1.5
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Самара","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Воронеж","",4.8,1.3
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Уфа","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Краснодар","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Пермь","",1.6,1
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Ростов-на-Дону","",1.6,0.9
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Киров","",1.6,0.7
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Калининград","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Ярославль","",1.6,0.6
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Рязань","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Волгоград","",1.6,0.5
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Архангельск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Тверь","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Липецк","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-03","cities","Вологда","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-03","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","1-18",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","24-27",17.7,9.8
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","27-30",25.8,14.8
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","30-35",30.6,30.8
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","35-45",16.1,29.6
"Rusfic_Alphavit_WM_pp","2021-01-03","gender_age","Ж","45+",8,12
"Rusfic_Alphavit_WM_pp","2021-01-04","age","1-18","",1.7,0.1
"Rusfic_Alphavit_WM_pp","2021-01-04","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-04","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-04","age","24-27","",17.2,9.5
"Rusfic_Alphavit_WM_pp","2021-01-04","age","27-30","",18.9,14.4
"Rusfic_Alphavit_WM_pp","2021-01-04","age","30-35","",27.5,29.8
"Rusfic_Alphavit_WM_pp","2021-01-04","age","35-45","",18.9,30.9
"Rusfic_Alphavit_WM_pp","2021-01-04","age","45+","",15.5,12.6
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Москва","",10.3,8
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Санкт-Петербург","",3.4,6
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Нижний Новгород","",3.4,2.3
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Екатеринбург","",1.7,1.8
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Казань","",1.7,1.7
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Самара","",3.4,1.5
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Воронеж","",3.4,1.5
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Уфа","",0,1.4
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Пермь","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Челябинск","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Ростов-на-Дону","",3.4,1
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Краснодар","",1.7,0.9
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Киров","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Волгоград","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Ярославль","",1.7,0.8
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Пенза","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Новосибирск","",3.4,0.6
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Рязань","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Тверь","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-04","cities","Архангельск","",1.7,0.5
"Rusfic_Alphavit_WM_pp","2021-01-04","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","1-18",1.7,0.1
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","24-27",17.2,9.5
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","27-30",18.9,14.4
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","30-35",27.5,29.8
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","35-45",18.9,30.9
"Rusfic_Alphavit_WM_pp","2021-01-04","gender_age","Ж","45+",15.5,12.6
"Rusfic_Alphavit_WM_pp","2021-01-05","age","1-18","",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-05","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-05","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-05","age","24-27","",10.2,9.5
"Rusfic_Alphavit_WM_pp","2021-01-05","age","27-30","",26.5,14.3
"Rusfic_Alphavit_WM_pp","2021-01-05","age","30-35","",30.6,27.9
"Rusfic_Alphavit_WM_pp","2021-01-05","age","35-45","",18.3,31.6
"Rusfic_Alphavit_WM_pp","2021-01-05","age","45+","",10.2,13.9
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Москва","",0,7.7
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Санкт-Петербург","",6.1,6.4
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Нижний Новгород","",4,2.3
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Екатеринбург","",0,2.1
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Казань","",0,1.7
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Самара","",2,1.6
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Воронеж","",0,1.3
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Пермь","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Краснодар","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Уфа","",2,0.9
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Киров","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Ростов-на-Дону","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Ярославль","",2,0.8
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Челябинск","",2,0.8
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Пенза","",2,0.6
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Калининград","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Волгоград","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Рязань","",2,0.5
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Оренбург","",2,0.5
"Rusfic_Alphavit_WM_pp","2021-01-05","cities","Тверь","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-05","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-05","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","1-18",0,0.1
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","24-27",10.2,9.5
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","27-30",26.5,14.3
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","30-35",30.6,27.9
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","35-45",18.3,31.6
"Rusfic_Alphavit_WM_pp","2021-01-05","gender_age","Ж","45+",10.2,13.9
"Rusfic_Alphavit_WM_pp","2021-01-06","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-06","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-06","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-06","age","24-27","",22.2,9.1
"Rusfic_Alphavit_WM_pp","2021-01-06","age","27-30","",2.7,13.2
"Rusfic_Alphavit_WM_pp","2021-01-06","age","30-35","",19.4,28
"Rusfic_Alphavit_WM_pp","2021-01-06","age","35-45","",36.1,32.3
"Rusfic_Alphavit_WM_pp","2021-01-06","age","45+","",16.6,14.4
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Москва","",2.7,7.7
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Санкт-Петербург","",2.7,6.5
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Нижний Новгород","",2.7,2.2
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Казань","",2.7,2
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Самара","",2.7,1.8
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Екатеринбург","",0,1.6
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Воронеж","",5.5,1.3
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Пермь","",8.3,1.1
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Ростов-на-Дону","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Уфа","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Краснодар","",2.7,0.9
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Ярославль","",2.7,0.9
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Киров","",5.5,0.7
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Ижевск","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Волгоград","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Новосибирск","",2.7,0.6
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Липецк","",2.7,0.6
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Тула","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Рязань","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-06","cities","Челябинск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-06","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","24-27",22.2,9.1
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","27-30",2.7,13.2
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","30-35",19.4,28
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","35-45",36.1,32.3
"Rusfic_Alphavit_WM_pp","2021-01-06","gender_age","Ж","45+",16.6,14.4
"Rusfic_Alphavit_WM_pp","2021-01-07","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-07","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-07","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-07","age","24-27","",8.8,8.5
"Rusfic_Alphavit_WM_pp","2021-01-07","age","27-30","",8.8,12.6
"Rusfic_Alphavit_WM_pp","2021-01-07","age","30-35","",33.3,27
"Rusfic_Alphavit_WM_pp","2021-01-07","age","35-45","",24.4,32.6
"Rusfic_Alphavit_WM_pp","2021-01-07","age","45+","",20,16.2
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Москва","",6.6,8.1
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Санкт-Петербург","",2.2,6.4
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Нижний Новгород","",2.2,2
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Казань","",0,1.9
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Екатеринбург","",4.4,1.5
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Самара","",4.4,1.4
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Пермь","",4.4,1.1
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Воронеж","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Краснодар","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Уфа","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Киров","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Ростов-на-Дону","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Ярославль","",2.2,0.7
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Липецк","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Челябинск","",2.2,0.6
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Новосибирск","",2.2,0.6
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Рязань","",2.2,0.6
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Пенза","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Белгород","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-07","cities","Вологда","",4.4,0.5
"Rusfic_Alphavit_WM_pp","2021-01-07","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-07","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","24-27",8.8,8.5
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","27-30",8.8,12.6
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","30-35",33.3,27
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","35-45",24.4,32.6
"Rusfic_Alphavit_WM_pp","2021-01-07","gender_age","Ж","45+",20,16.2
"Rusfic_Alphavit_WM_pp","2021-01-08","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-08","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-08","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-08","age","24-27","",5.7,8.9
"Rusfic_Alphavit_WM_pp","2021-01-08","age","27-30","",17.3,12.8
"Rusfic_Alphavit_WM_pp","2021-01-08","age","30-35","",26.9,26.7
"Rusfic_Alphavit_WM_pp","2021-01-08","age","35-45","",23,31.2
"Rusfic_Alphavit_WM_pp","2021-01-08","age","45+","",23,17
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Москва","",3.8,8
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Санкт-Петербург","",5.7,6.4
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Казань","",5.7,2.1
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Нижний Новгород","",1.9,2
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Екатеринбург","",0,1.8
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Самара","",3.8,1.4
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Пермь","",5.7,1.4
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Челябинск","",1.9,1.2
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Уфа","",0,1.2
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Воронеж","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Краснодар","",1.9,1
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Ростов-на-Дону","",0,0.9
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Новосибирск","",1.9,0.8
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Ярославль","",3.8,0.8
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Киров","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Волгоград","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Брянск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Липецк","",1.9,0.6
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Пенза","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-08","cities","Вологда","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-08","gender","Ж","",100,99.9
"Rusfic_Alphavit_WM_pp","2021-01-08","gender","М","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","1-18",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","18-21",0,0
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","21-24",0,0
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","24-27",5.7,8.9
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","27-30",17.3,12.8
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","30-35",26.9,26.7
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","35-45",23,31.2
"Rusfic_Alphavit_WM_pp","2021-01-08","gender_age","Ж","45+",23,17
"Rusfic_Alphavit_WM_pp","2021-01-09","age","1-18","",0,0.2
"Rusfic_Alphavit_WM_pp","2021-01-09","age","18-21","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-09","age","21-24","",0,0
"Rusfic_Alphavit_WM_pp","2021-01-09","age","24-27","",17.6,8.8
"Rusfic_Alphavit_WM_pp","2021-01-09","age","27-30","",5.8,12.7
"Rusfic_Alphavit_WM_pp","2021-01-09","age","30-35","",33.3,26
"Rusfic_Alphavit_WM_pp","2021-01-09","age","35-45","",21.5,31.4
"Rusfic_Alphavit_WM_pp","2021-01-09","age","45+","",17.6,17.6
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Москва","",3.9,8.1
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Санкт-Петербург","",3.9,6.9
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Нижний Новгород","",0,2
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Казань","",1.9,1.9
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Екатеринбург","",0,1.7
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Самара","",5.8,1.4
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Пермь","",1.9,1.2
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Краснодар","",3.9,1.2
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Воронеж","",0,1.1
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Ростов-на-Дону","",0,1
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Уфа","",0,0.8
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Новосибирск","",1.9,0.7
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Волгоград","",0,0.7
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Ярославль","",1.9,0.7
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Ижевск","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Липецк","",0,0.6
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Челябинск","",1.9,0.5
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Брянск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Курск","",0,0.5
"Rusfic_Alphavit_WM_pp","2021-01-09","cities","Вологда","",0,0.5
